３月３０日 (月),＜初回放送＞自己紹介、コーナー紹介(1)/おしかけ歌謡ショー (あかり)/自己紹介、コーナー紹介(2)/街角ガチブリショー(あかり)/アベコーLAND(紹介)/戦士取調室(奈々)/自己紹介、コーナー紹介(3)/MTK「Happy☆Life」/自己紹介、コーナー紹介(4)スミッコの反省部屋(成吾)
３月３１日 (火),オープニング/スーパーディスクシューター(千帆、崚行、遼、聖夜、帆乃香、純一朗)/おしかけ歌謡ショー(あかり)/天てれ9分劇場「GoGo!ヌードルファイブ」/街角ガチブリショー(聖夜)/MTK「Happy☆Life」/スミッコの反省部屋(あかり)
４月１日 (水),オープニング/スミッコクイズ！/アベコーLAND(あやの、遼、純一朗)/おしかけ歌謡ショー(あかり)/全国緊急ボランティア48！(ジーナ、寿々歌)/街角ガチブリショー(元太)/スミッコの反省部屋(寿々歌)
４月２日 (木),＜ウキウキ木曜！＞ お願いクッキングSHOW！/新人戦士のコーナーちょーだい！/ウキウキうたごえプレゼント/MTK「Happy☆Life」(全員で)
４月６日 (月),オープニング/ガールズ通信社(メロディー、寿々歌、 菜々香)/おしかけ歌謡ショー(あかり)/天てれドラマ「ミラクルシャッター」/戦士取調室(菜々香)/MTK「Happy☆Life」/MTK全国オーディション告知/街角ガチブリショー(拓巳)/スミッコの反省部屋(稜駿)
４月７日 (火),オープニング/スーパーディスクシュータ(聖夜、元太、寿々歌)/おしかけ歌謡ショー(あかり)/MTK全国オーディション告知/天てれ9分劇場「江戸松原次郎左衛門一家」/MTK「Happy☆Life」/街角ガチブリショー(青來)/スミッコの反省部屋(聖夜)
４月８日 (水),オープニング/アベコーLAND(拓巳、メロディー、美知代、奈々)/おしかけ歌謡ショー(あかり)/天てれ部活動「女子セパタクロー部」/MTK全国オーディション告知/MTK「Happy☆Life」/街角ガチブリショー(凜)/スミッコの反省部屋(一磨)
４月９日 (木),＜ウキウキ木曜！＞新人戦士のコーナーちょーだい！/ウキウキ！青春リクエストスペシャル/6年B組近八先生
４月１３日 (月),オープニング/魁！！男一番塾(聖夜、純一朗、次元、遼、拓巳)/おしかけ歌謡ショー(凜)/天てれドラマ「ミラクルシャッター」/街角ガチブリショー(1) (遼)/戦士取調室(寿々歌)/MTK「Happy☆Life」/街角ガチブリショー(2) (凜)/スミッコの反省部屋(寿々歌)
４月１４日 (火),オープニング/MTK全国オーディション/おしかけ歌謡ショー(凜)/天てれ9分劇場「Go!Go!ヌードルファイブ」/MTK全国オーディション告知/MTK「Happy☆Life」/スミッコの反省部屋(ことり)
４月１５日 (水),オープニング/アベコーLAND(千帆、美知代、帆乃香、遼 、メロディー、崚行、寿々歌、成吾)/おしかけ歌謡ショー(凜)/全国緊急ボランティア48！(聖夜、青來)/MTK「Happy☆Life」/MTK全国オーディション告知/街角ガチブリショー(千帆)/スミッコの反省部屋(菜々香)
４月１６日 (木),＜ウキウキ木曜！＞ハッピーサプライズ/天てれキミとがんばる団/ウキウキうたごえプレゼント/6年B組近八先生
４月２０日 (月),オープニング/ガールズ通信社(千帆、美知代、ことり、あやの)/おしかけ歌謡ショー(凜)/天てれドラマ「ミラクルシャッター」/街角ガチブリショー(1) (千帆)/戦士取調室(崚行)/MTK「Happy☆Life」/MTK全国オーディション告知/街角ガチブリショー(2) (聖夜)/スミッコの反省部屋(聖夜)
４月２１日 (火),オープニング/MTK全国オーディション/おしかけ歌謡ショー(凜)/天てれ9分劇場「江戸松原次郎左衛門一家」/MTK「Happy☆Life」/MTK全国オーディション告知/スミッコの反省部屋(純一朗)
４月２２日 (水),オープニング/アベコーLAND(千帆、拓巳、帆乃香、あやの)/おしかけ歌謡ショー(凜)/天てれ部活動「セパタクロー部」/MTK全国オーディション告知/MTK「Happy☆Life」/街角ガチブリショー(美知代)/スミッコの反省部屋(次元)
４月２３日 (木),＜ウキウキ木曜！＞6年B組近八先生/それゆけ！地元ヒーローズ(前)/執事ノエルのあなたがご主人様/それゆけ！地元ヒーローズ(後)/新人戦士のコーナーちょーだい！
４月２７日 (月),【再放送週間】
４月２８日 (火),【再放送週間】
４月２９日 (水),【再放送週間】
４月３０日 (木),【再放送週間】
５月４日 (月),オープニング/魁！！男一番塾(拓巳、稜駿、純一朗、一磨、崚行)/おしかけ歌謡ショー(千帆)/天てれドラマ「ミラクルシャッター」/街角ガチブリショー(1) (千帆)/戦士取調室(成吾)/MTK「MY WINGS」/街角ガチブリショー(2) (元太)/スミッコの反省部屋(元太)
５月５日 (火),オープニング/スーパーディスクシューター(拓巳、青來、遼)/おしかけ歌謡ショー(千帆)/天てれ9分劇場「GoGo!ヌードルファイブ」/MTK「MY WINGS」/スミッコの反省部屋(千帆)
５月６日 (水),オープニング/アベコーLAND(千帆、稜駿、寿々歌)/おしかけ歌謡ショー(千帆)/全国緊急ボランティア48！(帆乃香、奈々)/MTK「MY WINGS」/街角ガチブリショー(美知代)/スミッコの反省部屋(奈々)
５月７日 (木),＜ウキウキ木曜！＞オープニング/ハッピーサプライズ/6年B組近八先生/MTKライブスペシャル「MY WINGS」/ウキウキ生DENファンたじー
５月１１日 (月),オープニング/ガールズ通信社(凜、青來、寿々歌、菜々香、ことり)/おしかけ歌謡ショー(千帆)/天てれドラマ「ミラクルシャッター」/街角ガチブリショー(1) (次元)/戦士取調室(メロディー)/MTK「MY WINGS」/街角ガチブリショー(2) (千帆)/スミッコの反省部屋(ジーナ)
５月１２日 (火),オープニング/MTK全国オーディション/おしかけ歌謡ショー(千帆)/天てれ9分劇場「江戸松原次郎左衛門一家」/MTK「MY WINGS」/スミッコの反省部屋(凜)
５月１３日 (水),オープニング/アベコーLAND(聖夜、一磨、青來、純一朗)/おしかけ歌謡ショー(千帆)/天てれ部活動「女子セパタクロー部」/MTK「MY WINGS」/街角ガチブリショー(次元)/スミッコの反省部屋(あかり)
５月１４日 (木),＜ウキウキ木曜！＞それゆけ！地元ヒーローズ(前)/千帆ガイドの天てれ？ツアーズ/ハッピーサプライズ/6年B組近八先生/それゆけ！地元ヒーローズ(後)/ウキウキ！青春リクエスト
５月１８日 (月),戦士取調室(あやの)/オープニング/スミッコのヒミツ情報/魁！！男一番塾(一磨、次元、遼、成吾、崚行)/おしかけ歌謡ショー(次元)/天てれドラマ「ミラクルシャッター」/街角ガチブリショー(1) (崚行)/MTK「MY WINGS」/街角ガチブリショー(2) (次元)/スミッコの反省部屋(崚行)
５月１９日 (火),オープニング/天てれドラマ「GoGo!ヌードルファイブ」/スーパーディスクシューター(聖夜、美知代、元太)/MTK「MY WINGS」/おしかけ歌謡ショー(次元)/スミッコの反省部屋(美知代)
５月２０日 (水),オープニング/スミッコのヒミツ情報/アベコーLAND(千帆、菜々香、メロディー、寿々歌、 、聖夜、稜駿、純一朗、青來、遼)/おしかけ歌謡ショー(次元)/全国緊急ボランティア48！(一磨、成吾)/MTK「MY WINGS」/街角ガチブリショー(帆乃香)/スミッコの反省部屋(青來)
