1,2011年4月18日,トルコ,マントゥ アイラン,ファデン咲美亜
2,4月25日,アイルランド,アイリッシュ・シチュー  ソーダ・ブレッド,寺田朱里
3,5月23日,コロンビア,アヒアコ アレパ,寺田朱里
4,5月30日,アルメニア,トルマ ハリサ,寺田朱里
5,6月27日,韓国,フレッシュ野菜のビビンバ  ホットク,ファデン咲美亜
6,7月4日,アメリカ合衆国,アメリカンバーベキュー<br>ブルーベリーとラズベリーのレモンチーズタルト,ファデン咲美亜
7,9月19日,ネパール,グンドゥルク アチャール,ファデン咲美亜
8,10月17日,ブルキナファソ,ソースゴンボトー,寺田朱里
9,10月31日,イラン,モルグシェカムポールライス,ファデン咲美亜
10,11月21日,モロッコ,ホート タジン,寺田朱里
11,12月5日,モンゴル,ツィワン,ファデン咲美亜
12,2012年1月9日,エチオピア,インジェラ&ドロ・ワット,ファデン咲美亜
13,1月23日,中国,刀削麺,寺田朱里
14,2月6日,チリ,パステル・デ・チョクロ,ファデン咲美亜
15,2月13日,フランス,ラム肉と春野菜の包み焼き,寺田朱里
16,2月15日,日本,春のちらし寿司   京人参のアイス,寺田朱里・ファデン咲美亜
